rank count word class
5 2186369 a determiner
2107 4249 abandon verb
966 10468 ability noun
321 30454 able adjective
3862 1744 abolish verb
4341 1471 abortion noun
179 52561 about adverb
69 144554 about preposition
3341 2139 above adjective
942 10719 above adverb
786 12889 above preposition
2236 3941 abroad adverb
1602 5949 absence noun
4266 1504 absent adjective
2435 3489 absolute adjective
1651 5782 absolutely adverb
2907 2684 absorb verb
4083 1605 abstract adjective
2461 3428 abuse noun
4570 1364 abuse verb
1974 4594 academic adjective
3707 1842 accent noun
507 20373 accept verb
2351 3647 acceptable adjective
2895 2702 acceptance noun
997 10099 access noun
4516 1389 access verb
4024 1637 accessible adjective
1207 8374 accident noun
3418 2065 accommodate verb
2085 4305 accommodation noun
1892 4885 accompany verb
3443 2042 accordance noun
646 15722 according preposition
3214 2288 accordingly adverb
536 19260 account noun
1562 6130 account verb
3289 2199 accountant noun
4018 1640 accounting adjective
3934 1692 accuracy noun
2743 2928 accurate adjective
4436 1423 accurately adverb
2190 4047 accuse verb
4521 1387 accused adjective
611 16628 achieve verb
1980 4586 achievement noun
1613 5897 acid noun
2139 4151 acknowledge verb
1512 6354 acquire verb
2546 3245 acquisition noun
3327 2150 acre noun
2457 3439 across adverb
474 21763 across preposition
455 22657 act noun
654 15620 act verb
371 26894 action noun
4708 1293 activate verb
1332 7290 active adjective
4294 1493 actively adverb
4736 1285 activist noun
440 23105 activity noun
2413 3540 actor noun
1414 6849 actual adjective
385 25990 actually adverb
3205 2294 acute adjective
2906 2687 adapt verb
363 27367 add verb
4624 1334 added adjective
949 10664 addition noun
1319 7364 additional adjective
1566 6112 address noun
1625 5872 address verb
2397 3571 adequate adjective
4047 1624 adjacent adjective
2898 2697 adjust verb
3370 2114 adjustment noun
3769 1795 administer verb
1409 6865 administration noun
2407 3548 administrative adjective
4314 1483 administrator noun
3312 2168 admire verb
2861 2742 admission noun
925 10905 admit verb
1186 8549 adopt verb
4191 1544 adoption noun
4182 1547 adult adjective
1411 6855 adult noun
1840 5055 advance noun
2683 3032 advance verb
2583 3183 advanced adjective
981 10285 advantage noun
3491 1993 adventure noun
3386 2099 advertise verb
3344 2136 advertisement noun
2392 3582 advertising noun
971 10437 advice noun
1839 5055 advise verb
2580 3191 adviser noun
4277 1500 advisory adjective
4029 1636 advocate verb
954 10561 affair noun
789 12867 affect verb
4092 1601 affection noun
1769 5346 afford verb
1596 5967 afraid adjective
312 30855 after conjunction
111 85939 after preposition
1128 8934 afternoon noun
1991 4544 afterwards adverb
160 59829 again adverb
169 56208 against preposition
399 25340 age noun
4142 1565 age verb
2641 3096 aged preposition
1054 9579 agency noun
3069 2427 agenda noun
1233 8100 agent noun
4845 1243 aggression noun
3581 1925 aggressive adjective
522 19808 ago adverb
428 23497 agree verb
651 15627 agreement noun
2593 3162 agricultural adjective
2265 3858 agriculture noun
1145 8809 ahead adverb
1249 7903 aid noun
3398 2086 aid verb
3042 2463 aids noun
1306 7460 aim noun
1281 7638 aim verb
544 19046 air noun
1548 6200 aircraft noun
3500 1982 airline noun
2855 2756 airport noun
3169 2322 alarm noun
4914 1222 alarm verb
4477 1406 albeit conjunction
2957 2581 album noun
2662 3066 alcohol noun
4773 1270 alike adverb
2103 4254 alive adjective
171 55704 all adverb
43 230737 all determiner
3360 2124 allegation noun
3731 1820 allege verb
3887 1728 alleged adjective
2422 3518 alliance noun
3060 2445 allocate verb
3193 2305 allocation noun
279 33687 allow verb
2472 3411 allowance noun
3105 2381 ally noun
300 31588 almost adverb
1365 7088 alone adjective
1528 6262 alone adverb
1235 8081 along adverb
627 16233 along preposition
2883 2720 alongside preposition
275 34292 already adverb
2386 3592 alright adjective
1926 4777 alright adverb
81 124884 also adverb
2183 4061 alter verb
4226 1527 alteration noun
1828 5098 alternative adjective
1797 5228 alternative noun
3894 1723 alternatively adverb
215 43635 although conjunction
2558 3218 altogether adverb
201 46228 always adverb
3658 1873 amazing adjective
4788 1264 ambassador noun
3177 2319 ambition noun
4228 1526 ambitious adjective
3936 1690 ambulance noun
4525 1386 amend verb
2960 2574 amendment noun
450 22864 among preposition
1989 4552 amongst preposition
629 16138 amount noun
2358 3633 amount verb
33 343063 an determiner
2166 4106 analyse verb
732 14149 analysis noun
4109 1586 analyst noun
4821 1249 ancestor noun
1860 4981 ancient adjective
4 2687863 and conjunction
3616 1897 angel noun
2530 3291 anger noun
2352 3644 angle noun
2095 4282 angry adjective
671 15250 animal noun
4573 1363 ankle noun
3332 2144 anniversary noun
815 12582 announce verb
2852 2758 announcement noun
1265 7785 annual adjective
159 60182 another determiner
810 12596 answer noun
989 10140 answer verb
4221 1528 antibody noun
3184 2316 anticipate verb
2616 3129 anxiety noun
2645 3088 anxious adjective
83 123655 any determiner
1872 4952 anybody pronoun
686 14956 anyone pronoun
347 28321 anything pronoun
837 12232 anyway adverb
2167 4105 anywhere adverb
1004 10040 apart adverb
3612 1901 apartment noun
4984 1195 apology noun
1782 5306 apparent adjective
1272 7696 apparently adverb
1006 10020 appeal noun
1930 4764 appeal verb
319 30595 appear verb
1462 6606 appearance noun
3643 1884 appendix noun
2704 2996 apple noun
4443 1419 applicable adjective
3305 2179 applicant noun
623 16281 application noun
547 18982 apply verb
1500 6407 appoint verb
4080 1606 appointed adjective
1610 5911 appointment noun
2082 4312 appreciate verb
4640 1329 appreciation noun
621 16331 approach noun
1310 7432 approach verb
917 11010 appropriate adjective
2187 4050 approval noun
1780 5312 approve verb
2798 2837 approximately adverb
4825 1248 arch noun
2961 2572 architect noun
2688 3018 architecture noun
162 58449 area noun
728 14196 argue verb
843 12125 argument noun
1139 8860 arise verb
513 20089 arm noun
4214 1533 arm verb
2505 3344 armed adjective
826 12379 army noun
439 23106 around adverb
461 22180 around preposition
4675 1308 arouse verb
1379 7021 arrange verb
1113 9054 arrangement noun
4803 1258 array noun
3391 2095 arrest noun
2185 4059 arrest verb
2278 3815 arrival noun
735 14093 arrive verb
4058 1621 arrow noun
509 20168 art noun
1037 9710 article noun
3611 1901 artificial adjective
1232 8105 artist noun
4170 1553 artistic adjective
98 101583 as adverb
31 364164 as conjunction
48 201968 as preposition
2375 3607 aside adverb
154 60879 ask verb
3041 2463 asleep adjective
871 11643 aspect noun
4777 1269 aspiration noun
3094 2395 assault noun
4057 1621 assemble verb
1630 5847 assembly noun
3477 2012 assert verb
1570 6088 assess verb
1290 7602 assessment noun
1663 5721 asset noun
3802 1778 assign verb
3919 1707 assignment noun
2202 4021 assist verb
2064 4344 assistance noun
3860 1745 assistant adjective
2921 2655 assistant noun
1156 8743 associate verb
4391 1447 associated adjective
757 13471 association noun
912 11044 assume verb
1705 5554 assumption noun
3384 2100 assurance noun
2625 3116 assure verb
19 534162 at preposition
1889 4902 atmosphere noun
4331 1473 atom noun
1915 4821 attach verb
1012 9963 attack noun
1464 6586 attack verb
857 11877 attempt noun
1022 9873 attempt verb
1148 8801 attend verb
3633 1889 attendance noun
740 13968 attention noun
938 10758 attitude noun
1498 6410 attract verb
3124 2366 attraction noun
1814 5152 attractive adjective
4798 1260 attribute noun
3187 2311 attribute verb
4352 1466 auction noun
1480 6500 audience noun
3343 2136 audit noun
3955 1679 auditor noun
4211 1536 aunt noun
1413 6852 author noun
303 31231 authority noun
3242 2245 automatic adjective
2832 2787 automatically adverb
3783 1788 autonomy noun
2250 3917 autumn noun
3602 1912 availability noun
367 27184 available adjective
1607 5922 average adjective
2168 4104 average noun
866 11750 avoid verb
3536 1958 await verb
764 13274 award noun
1458 6625 award verb
936 10764 aware adjective
2424 3516 awareness noun
188 50294 away adverb
2731 2960 awful adjective
4301 1489 awkward adjective
1811 5166 aye interjection
883 11503 baby noun
3160 2335 back adjective
118 75494 back adverb
415 24095 back noun
2048 4391 back verb
1398 6923 background noun
3636 1887 backing noun
3757 1802 backwards adverb
4786 1265 bacteria noun
393 25608 bad adjective
2072 4329 badly adverb
1389 6955 bag noun
1179 8601 balance noun
3132 2361 balance verb
1170 8636 ball noun
4614 1340 ballet noun
3037 2468 ban noun
2791 2851 ban verb
1117 9003 band noun
4976 1197 bang verb
491 20946 bank noun
4602 1348 banker noun
3950 1681 banking noun
1011 9969 bar noun
4947 1210 bar verb
3211 2291 bare adjective
3206 2293 barely adverb
4886 1229 bargain noun
4356 1465 barn noun
4464 1411 barrel noun
2691 3011 barrier noun
1070 9410 base noun
556 18742 base verb
928 10860 basic adjective
2624 3116 basically adverb
4661 1314 basin noun
715 14420 basis noun
3983 1658 basket noun
3709 1841 bastard noun
4820 1249 bat noun
2439 3484 bath noun
2828 2792 bathroom noun
3433 2050 battery noun
1372 7063 battle noun
3387 2097 bay noun
2 4239632 be verb
2154 4125 beach noun
4205 1540 beam noun
3824 1767 bean noun
3788 1786 bear noun
592 17461 bear verb
4351 1466 bearing noun
4877 1232 beast noun
4430 1425 beat noun
1231 8106 beat verb
1162 8670 beautiful adjective
4849 1241 beautifully adverb
2027 4445 beauty noun
96 103003 because conjunction
130 67219 become verb
578 17947 bed noun
1626 5865 bedroom noun
4859 1237 bee noun
4243 1516 beef noun
2307 3762 beer noun
1522 6285 before adverb
314 30731 before conjunction
185 51259 before preposition
3642 1885 beg verb
214 43740 begin verb
1240 8018 beginning noun
2206 4012 behalf noun
2650 3082 behave verb
793 12853 behaviour noun
2823 2795 behind adverb
498 20694 behind preposition
2324 3732 being noun
1302 7509 belief noun
273 34603 believe verb
2851 2758 bell noun
1664 5716 belong verb
1182 8587 below adverb
1656 5748 below preposition
3163 2328 belt noun
3173 2320 bench noun
2454 3453 bend verb
1883 4917 beneath preposition
4544 1375 beneficial adjective
670 15251 benefit noun
2101 4262 benefit verb
1649 5785 beside preposition
3830 1765 besides adverb
1027 9790 best adverb
3209 2292 bet verb
4670 1310 betray verb
652 15626 better adverb
105 91141 between preposition
945 10705 beyond preposition
4548 1372 bias noun
3408 2075 bible noun
2521 3316 bid noun
3843 1756 bid verb
282 33300 big adjective
3266 2224 bike noun
4892 1228 bile noun
993 10125 bill noun
1472 6517 bind verb
4832 1246 binding adjective
3523 1965 biological adjective
1115 9021 bird noun
1615 5889 birth noun
2500 3352 birthday noun
4172 1552 biscuit noun
2366 3620 bishop noun
315 30675 bit noun
2765 2885 bite verb
3103 2384 bitter adjective
502 20609 black adjective
3189 2310 black noun
4400 1442 blade noun
2108 4248 blame verb
4279 1499 blank adjective
4184 1545 blanket noun
4891 1228 bless verb
2912 2674 blind adjective
1669 5705 block noun
2904 2688 block verb
4095 1597 bloke noun
986 10176 blood noun
1791 5261 bloody adjective
3470 2016 bloody adverb
3118 2372 blow noun
1856 5013 blow verb
1109 9089 blue adjective
3053 2455 blue noun
581 17878 board noun
1317 7373 boat noun
294 32231 body noun
4419 1430 bold adjective
4748 1281 bolt noun
2333 3703 bomb noun
4960 1202 bomb verb
2313 3753 bond noun
1955 4665 bone noun
4569 1364 bonus noun
252 37675 book noun
3623 1894 book verb
4510 1391 booking noun
4946 1210 booklet noun
4297 1491 boom noun
3873 1739 boost verb
2240 3930 boot noun
1853 5028 border noun
4217 1531 boring adjective
3246 2243 borough noun
2499 3353 borrow verb
2320 3739 boss noun
358 27644 both adverb
227 41162 both determiner
2188 4048 bother verb
1624 5872 bottle noun
3198 2301 bottom adjective
1742 5441 bottom noun
2036 4416 boundary noun
4585 1357 bow noun
4578 1359 bow verb
4404 1441 bowel noun
2935 2631 bowl noun
900 11292 box noun
486 21205 boy noun
4735 1285 boyfriend noun
1698 5586 brain noun
1196 8456 branch noun
3733 1819 brand noun
4416 1433 brass noun
3838 1760 brave adjective
2474 3407 breach noun
2294 3780 bread noun
2099 4271 break noun
532 19512 break verb
4104 1591 breakdown noun
2080 4314 breakfast noun
2926 2648 breast noun
1768 5347 breath noun
2492 3372 breathe verb
3859 1745 breed noun
3513 1974 breed verb
4488 1403 breeding noun
4376 1455 breeze noun
2911 2675 brick noun
1761 5367 bridge noun
1861 4977 brief adjective
2531 3280 briefly adverb
4839 1245 brigade noun
1552 6190 bright adjective
2432 3498 brilliant adjective
211 43894 bring verb
1488 6447 broad adjective
4091 1602 broadly adverb
3027 2479 broken adjective
4951 1209 bronze noun
864 11757 brother noun
4986 1194 brow noun
2088 4300 brown adjective
3941 1686 brush noun
3369 2115 brush verb
4490 1401 bucket noun
1078 9311 budget noun
418 23931 build verb
3768 1795 builder noun
496 20770 building noun
3424 2056 bulk noun
4807 1257 bull noun
4894 1227 bullet noun
4610 1344 bunch noun
2710 2988 burden noun
4028 1636 bureau noun
4256 1509 bureaucracy noun
1829 5091 burn verb
4813 1252 burning adjective
3030 2476 burst verb
2713 2987 bury verb
1428 6761 bus noun
3567 1933 bush noun
244 38204 business noun
3621 1895 businessman noun
1801 5221 busy adjective
23 459622 but conjunction
3439 2044 butter noun
3012 2503 button noun
394 25582 buy verb
2092 4285 buyer noun
2760 2898 by adverb
20 517171 by preposition
4042 1626 bye interjection
4290 1494 cab noun
4792 1262 cabin noun
1404 6900 cabinet noun
3353 2129 cable noun
3846 1755 cafe noun
2299 3773 cake noun
4921 1220 calcium noun
2246 3922 calculate verb
3227 2271 calculation noun
4660 1314 calendar noun
1096 9182 call noun
175 53396 call verb
4452 1416 calm adjective
4723 1288 calm verb
2296 3775 camera noun
2230 3957 camp noun
969 10441 campaign noun
4492 1400 campaign verb
37 266116 can modal
4005 1647 can noun
3681 1858 canal noun
3284 2205 cancel verb
2075 4323 cancer noun
1286 7618 candidate noun
4106 1589 candle noun
3110 2379 cap noun
3794 1783 capability noun
1876 4943 capable adjective
1525 6272 capacity noun
3573 1930 capital adjective
839 12188 capital noun
3595 1916 capitalism noun
3546 1946 capitalist noun
2317 3744 captain noun
2771 2881 capture verb
263 35295 car noun
2588 3170 car verb
4747 1281 caravan noun
3035 2470 carbon noun
1048 9632 card noun
557 18717 care noun
1519 6298 care verb
1065 9441 career noun
1803 5218 careful adjective
1350 7180 carefully adverb
3910 1713 carer noun
2635 3104 carpet noun
3084 2410 carriage noun
3638 1886 carrier noun
302 31258 carry verb
4781 1268 carve verb
140 63577 case noun
1216 8283 cash noun
